,Blocks.paragraph,grouped_text
0,0,598
1,1,Knowl. Org. 43(2016)No.8 W.-Ch. Lee. An Exploratory Study of the Subject Ontogeny of Eugenics
3,2,"meant ""Family"" from the 1929 edition to the 1958 edi-"
4,3,"""eugenics"" did not split into two groups represented by tion. It was changed to ""Family and its members"" in the"
6,4,"""eugenics"" and ""genetic health"" in the 2007 edition. We 1964 edition and has been referring to ""Family and kin-"
8,5,"can say that the word-use change happened in the ""applied ship"" since the 1989 edition. We consider the two cases sciences"" but not at the other two areas. The lack of a as word-use change, because the sub-classes do not"
12,6,mechanism to present this subject ontogeny including the change correspondingly. There is no structural change.
14,7,relationship between eugenics and genetic health under- The name changes of class 300 and class 544 do not im-
16,8,mines the CCL's performance in information retrieval. Us- mediately signal to the cataloger that there are different
18,9,"ers who do a subject search on ""eugenics"" would not re- types of materials under the two classes. One other word-"
20,10,"trieve materials about ""eugenics"" in ""applied sciences"" that use change is class 363. Class 363 was ""Genetics; hered-"
22,11,"are classified using the 2007 edition of CCL, unless the ity"" from the 1929 edition to the 1977 edition. In the"
24,12,"subject headings were coupled with ""genetic health."" Based 1981 to the 2001 editions, it became ""Genetics; heredity;"
26,13,"on the data, and the relatively short life span of class variation."" It changed back to ""Genetics; heredity"" in the"
28,14,"411.91 as ""eugenics,"" we cannot tell whether the name current 2007 edition. Looking at class 363 alone, it seems"
30,15,"change of 411.91 influences cataloging practices. Among ""variation"" was added and removed, thus broadening and"
32,16,"the two hundred twenty-two records created from 1985 to then limiting the scope of the class. However, if we look"
34,17,"2015, only one bibliographic record uses 411.91 as class at the hierarchy of class 363 over time, we see that ""varia-"
36,18,"number. The data show low application of the class, but tion"" first appeared in the 1936 edition as 363.1, and has"
38,19,"the reason for this and its relationship with scheme change been a sub-class of 363 since then. Whether it appears in remains unknown. the class name of 363 or not, the class for variation"
42,20,"Textual change refers to changes of relationships be- (363.1) has not changed. Adding ""variation"" to the class"
44,21,tween an edition of the scheme and a set of texts. Texts name of 363 only highlights this concept among other
46,22,"can refer to either 1) resources used and often cited to cre- sub-classes of the same level, such as 363.2 ""Breeding;"
48,23,"ate a class in a particular scheme; or 2) materials assigned conjugation"" and 363.3 ""Reproduction and sex."" Never-"
50,24,"under a specific class. The former type of textual change is theless, it does not indicate posting-up ""variation"" to 363."
52,25,"textual warrant change, and the latter is document-set It is important to examine the entire hierarchy when ex-"
54,26,"change (Tennis 2007). In class 360, we see both document- ploring the ontogeny of a class. If we only focus on the"
56,27,"set change and word-use change. The class name is ""Biol- name changes of class 363, we may misunderstand the"
58,28,"ogy; natural history"" from the 1929 to the 1977 editions. It change and categorize it as a structural change instead."
60,29,"became ""Life science"" in the 1981 edition, and changed Another interesting case is class 411.91 ""Eugenics"" in"
62,30,"again in the 2001 edition to ""Biological science."" In order the ""Applied sciences."" This ""eugenics"" () was"
64,31,"to arrive at the assessment that we observe two types of added as one of the ""special topics"" under class 411 ""Hy-"
66,32,"change, we examine the hierarchy of class 360 in the 1977, giene"" in the 2001 edition with a note saying the class in-"
68,33,"1981, and 2001 editions. The classes of 361 to 369 are cludes topics about birth control and abortion. In the 2007"
70,34,"identical in the latter two editions. In the 2001 edition, the edition, ""eugenics"" was removed, and the name of 411.91"
72,35,"scheme explicitly marks the new class name of 360 as a changed to ""Genetic health"" with a note"
74,36,"synonym of the old name. We thus consider the change specifying that topics about birth control, induced abor-"
76,37,"from ""life science"" to ""biological science"" to be a word-use tion, and family planning are under this class. Based on the"
78,38,"change. However, when we compare the hierarchies of notes in the 2001 and 2007 editions, we may infer that the"
80,39,"class 360 in the 1977 and 1981 editions (Table 2), we iden- change from ""eugenics"" to ""genetic health"" is a word-use"
82,40,"tify changes that would affect the types of materials classed change like adding a synonym, because the old and the"
84,41,"under a specific class. For instance, class 367 changed from new classes include very similar topics. However, when we"
86,42,"""Natural history; natural research"" to ""Ecology."" The for- broaden our focus from the class 411.91 to the ontogeny"
88,43,"mer has two sub-classes while the latter has eight sub- of ""eugenics,"" we have a different explanation. This"
90,44,classes with subdivisions. We can anticipate that the docu- change is similar to but different from word-use change
92,45,ment-set classed under 367 will change drastically after the (Tennis 2007) and splitting (Cupar 2015). In the 2001 edi-
94,46,"scheme change. If a library migrated from a 1977 or older tion, ""eugenics"" represents three document-sets in classes"
96,47,"edition of the CCL to a 1981 or newer edition, there 363.5, 411.91, and 544.45, which correspond to the natural"
98,48,"would be two document-sets sharing the same class num- sciences, applied sciences, and social sciences aspects of"
100,49,"ber. Without a mechanism to present the ontogeny of the the subject. In the 2007 edition, ""Eugenics"" still appears in"
102,50,"subjects this class inventories, confusion can arise and hin- the ""Natural sciences"" and the ""Social sciences,"" but its"
104,51,"der navigation through the scheme. spot in the applied sciences is taken by ""Genetic health."" The change is not splitting because the materials about"
