Sample Number,File Name,Column Count,Paragraph Count
1,Sample 1.pdf,2,8
2,Sample 2.pdf,2,7
3,Sample 3.pdf,1,7
4,Sample 4.pdf,2,7
5,Sample 5.pdf,1,4
6,Sample 6.pdf,1,3
7,Sample 7.pdf,1,3
8,Sample 8.pdf,1,4
9,Sample 9.pdf,1,6
10,Sample 10.pdf,1,5
11,Sample 11.pdf,1,4
12,Sample 12.pdf,2,10
13,Sample 13.pdf,2,8
14,Sample 14.pdf,2,12
15,Sample 15.pdf,2,4
16,Sample 16.pdf,1,5
17,Sample 17.pdf,1,3
18,Sample 18.pdf,1,5
19,Sample 19.pdf,1,5
20,Sample 20.pdf,2,11
21,Sample 21.pdf,2,8
22,Sample 22.pdf,1,5
23,Sample 23.pdf,2,12
24,Sample 24.pdf,1,4
25,Sample 25.pdf,1,4
26,Sample 26.pdf,1,3
27,Sample 27.pdf,2,6
28,Sample 28.pdf,2,9
29,Sample 29.pdf,1,4
30,Sample 30.pdf,2,12
31,Sample 31.pdf,1,4
32,Sample 32.pdf,1,7
33,Sample 33.pdf,1,6
34,Sample 34.pdf,1,5
35,Sample 35.pdf,1,4
36,Sample 36.pdf,1,9
37,Sample 37.pdf,1,4
38,Sample 38.pdf,1,2
39,Sample 39.pdf,2,5
40,Sample 40.pdf,1,4
41,Sample 41.pdf,1,3
42,Sample 42.pdf,1,3
43,Sample 43.pdf,1,7
44,Sample 44.pdf,2,9
45,Sample 45.pdf,2,12
46,Sample 46.pdf,1,2
47,Sample 47.pdf,2,6
48,Sample 48.pdf,2,12
49,Sample 49.pdf,2,7
50,Sample 50.pdf,2,5
51,Sample 51.pdf,2,8
52,Sample 52.pdf,2,9
53,Sample 53.pdf,2,8
54,Sample 54.pdf,2,12
55,Sample 55.pdf,2,11
56,Sample 56.pdf,2,12
57,Sample 57.pdf,2,8
58,Sample 58.pdf,2,8
59,Sample 59.pdf,2,8
60,Sample 60.pdf,2,6
